Date,Gel_wt%,Light,Seeding_density,Gel_ID,Gel_Side,Z_ID,Image_ID,Live_cells,Dead_cells
10/18/2023,5,Vis,2,GelMA,A,1,0,17,8
10/18/2023,5,Vis,2,GelMA,A,1,1,25,8
10/18/2023,5,Vis,2,GelMA,A,1,2,13,13
10/18/2023,5,Vis,2,GelMA,A,1,3,16,8
10/18/2023,5,Vis,2,GelMA,A,1,4,13,8
10/18/2023,5,Vis,2,GelMA,A,1,5,15,5
10/18/2023,5,Vis,2,GelMA,A,1,6,12,8
10/18/2023,5,Vis,2,GelMA,A,1,7,12,7
10/18/2023,5,Vis,2,GelMA,A,1,8,12,7
10/18/2023,5,Vis,2,GelMA,A,1,9,15,7
10/18/2023,5,Vis,2,GelMA,A,1,10,15,4
10/18/2023,5,Vis,2,GelMA,A,1,11,6,4
10/18/2023,5,Vis,2,GelMA,A,0,0,42,7
10/18/2023,5,Vis,2,GelMA,A,0,1,22,8
10/18/2023,5,Vis,2,GelMA,A,0,2,10,7
10/18/2023,5,Vis,2,GelMA,A,0,3,16,10
10/18/2023,5,Vis,2,GelMA,A,0,4,23,3
10/18/2023,5,Vis,2,GelMA,A,0,5,23,5
10/18/2023,5,Vis,2,GelMA,A,0,6,24,13
10/18/2023,5,Vis,2,GelMA,A,0,7,35,8
10/18/2023,5,Vis,2,GelMA,A,0,8,30,6
10/18/2023,5,Vis,2,GelMA,A,0,9,28,8
10/18/2023,5,Vis,2,GelMA,A,0,10,32,8
10/18/2023,5,Vis,2,GelMA,A,0,11,33,8
10/18/2023,5,Vis,2,GelMA,A,2,0,24,7
10/18/2023,5,Vis,2,GelMA,A,2,1,31,7
10/18/2023,5,Vis,2,GelMA,A,2,2,22,11
10/18/2023,5,Vis,2,GelMA,A,2,3,31,9
10/18/2023,5,Vis,2,GelMA,A,2,4,23,7
10/18/2023,5,Vis,2,GelMA,A,2,5,22,2
10/18/2023,5,Vis,2,GelMA,A,2,6,24,5
10/18/2023,5,Vis,2,GelMA,A,2,7,23,17
10/18/2023,5,Vis,2,GelMA,A,2,8,21,9
10/18/2023,5,Vis,2,GelMA,A,2,9,19,5
10/18/2023,5,Vis,2,GelMA,A,2,10,22,3
10/18/2023,5,Vis,2,GelMA,A,2,11,13,6
10/18/2023,5,Vis,2,GelMA,A,2,12,11,12
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,0,3,11
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,1,7,11
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,2,13,20
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,3,9,22
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,4,8,34
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,5,9,36
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,6,17,20
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,7,13,19
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,8,27,21
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,9,24,36
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,10,12,18
10/18/2023,5,Vis,2,GY8LL2 1:1,A,0,11,9,20
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,0,9,3
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,1,12,10
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,2,11,15
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,3,12,18
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,4,16,32
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,5,12,12
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,6,17,31
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,7,15,16
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,8,24,19
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,9,10,22
10/18/2023,5,Vis,2,GY8LL2 1:1,A,1,10,7,14
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,0,2,2
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,1,3,3
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,2,2,18
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,3,2,31
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,4,13,45
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,5,9,47
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,6,14,47
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,7,6,40
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,8,6,36
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,9,6,34
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,10,14,28
10/18/2023,5,Vis,2,GY8LL2 1:1,A,2,11,6,24
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,0,35,8
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,1,37,10
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,2,42,17
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,3,38,20
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,4,44,22
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,5,34,33
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,6,35,20
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,7,37,32
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,8,58,32
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,9,63,31
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,10,76,25
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,11,77,22
10/18/2023,5,Vis,2,GY8LL2 1:4,A,0,12,70,26
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,0,35,7
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,1,23,17
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,2,26,11
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,3,26,10
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,4,35,21
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,5,48,22
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,6,48,16
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,7,38,2
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,8,32,17
10/18/2023,5,Vis,2,GY8LL2 1:4,A,1,9,18,11
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,0,39,7
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,1,49,8
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,2,53,13
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,3,44,22
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,4,38,17
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,5,32,19
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,6,29,7
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,7,40,12
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,8,25,12
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,9,29,14
10/18/2023,5,Vis,2,GY8LL2 1:4,A,2,10,33,16
